,botanist_name,botanist_email,botanist_phone_number,plant_id,scientific_name,plant_name,plant_cycle,last_watered,plant_origin,recording_time,soil_moisture,sun_condition,shade_condition,temperature,plant_latitude,plant_longitude,plant_location
0,carl linnaeus,carl.linnaeus@lnhm.co.uk,146-994-1635,0,epipremnum aureum,epipremnum aureum,perennial,2023-08-30 14:03:04,"{'origin_latitude': '-19.32556', 'origin_longitude': '-41.25528', 'origin_country': 'America/Sao_Paulo'}",2023-08-31 09:28:07,32.32967720619554,part sun,part shade,13.165577462821469,-19.32556,-41.25528,america/sao_paulo
1,gertrude jekyll,gertrude.jekyll@lnhm.co.uk,481-273-3691,1,,venus flytrap,,2023-08-30 13:54:32,"{'origin_latitude': '33.95015', 'origin_longitude': '-118.03917', 'origin_country': 'America/Los_Angeles'}",2023-08-31 09:28:08,30.69291235826772,no information,no information,12.030143391317132,33.95015,-118.03917,america/los_angeles
2,carl linnaeus,carl.linnaeus@lnhm.co.uk,146-994-1635,2,,corpse flower,,2023-08-30 14:10:54,"{'origin_latitude': '7.65649', 'origin_longitude': '4.92235', 'origin_country': 'Africa/Lagos'}",2023-08-31 09:28:08,36.8199144822566,no information,no information,9.12633115183272,7.65649,4.92235,africa/lagos
3,eliza andrews,eliza.andrews@lnhm.co.uk,846-669-6651,3,,rafflesia arnoldii,,2023-08-30 14:50:16,"{'origin_latitude': '-19.32556', 'origin_longitude': '-41.25528', 'origin_country': 'America/Sao_Paulo'}",2023-08-31 09:28:09,35.568597140249764,no information,no information,9.994904941869471,-19.32556,-41.25528,america/sao_paulo
4,carl linnaeus,carl.linnaeus@lnhm.co.uk,146-994-1635,4,,black bat flower,,2023-08-30 13:16:25,"{'origin_latitude': '13.70167', 'origin_longitude': '-89.10944', 'origin_country': 'America/El_Salvador'}",2023-08-31 09:28:10,27.728496777335977,no information,no information,11.326362767168108,13.70167,-89.10944,america/el_salvador
5,carl linnaeus,carl.linnaeus@lnhm.co.uk,146-994-1635,5,sarracenia catesbaei,pitcher plant,herbaceous perennial,2023-08-30 14:56:18,"{'origin_latitude': '22.88783', 'origin_longitude': '84.13864', 'origin_country': 'Asia/Kolkata'}",2023-08-31 09:28:11,36.88418040964996,full sun,no information,11.185506229237841,22.88783,84.13864,asia/kolkata
6,eliza andrews,eliza.andrews@lnhm.co.uk,846-669-6651,6,wollemia nobilis,wollemi pine,perennial,2023-08-30 13:35:35,"{'origin_latitude': '43.86682', 'origin_longitude': '-79.2663', 'origin_country': 'America/Toronto'}",2023-08-31 09:28:13,33.681131544022236,no information,part shade,10.965034498369574,43.86682,-79.2663,america/toronto
7,eliza andrews,eliza.andrews@lnhm.co.uk,846-669-6651,8,heliconia schiedeana 'fire and ice',bird of paradise,herbaceous perennial,2023-08-30 13:23:01,"{'origin_latitude': '5.27247', 'origin_longitude': '-3.59625', 'origin_country': 'Africa/Abidjan'}",2023-08-31 09:28:14,28.11820797415507,full sun,part shade,11.522994913381858,5.27247,-3.59625,africa/abidjan
8,gertrude jekyll,gertrude.jekyll@lnhm.co.uk,481-273-3691,9,pereskia grandifolia,cactus,perennial,2023-08-30 14:12:43,"{'origin_latitude': '50.9803', 'origin_longitude': '11.32903', 'origin_country': 'Europe/Berlin'}",2023-08-31 09:28:14,33.013171329468605,full sun,no information,10.596995011636361,50.9803,11.32903,europe/berlin
9,gertrude jekyll,gertrude.jekyll@lnhm.co.uk,481-273-3691,10,,"dragon tree,",,2023-08-30 13:04:57,"{'origin_latitude': '43.50891', 'origin_longitude': '16.43915', 'origin_country': 'Europe/Zagreb'}",2023-08-31 09:28:14,29.221315026036635,no information,no information,20.047988627899826,43.50891,16.43915,europe/zagreb
10,gertrude jekyll,gertrude.jekyll@lnhm.co.uk,481-273-3691,11,asclepias curassavica,asclepias curassavica,herbaceous perennial,2023-08-30 13:37:24,"{'origin_latitude': '20.88953', 'origin_longitude': '-156.47432', 'origin_country': 'Pacific/Honolulu'}",2023-08-31 09:28:15,33.09816681928838,full sun,no information,9.461550413332809,20.88953,-156.47432,pacific/honolulu
11,eliza andrews,eliza.andrews@lnhm.co.uk,846-669-6651,12,,brugmansia x candida,,2023-08-30 13:13:51,"{'origin_latitude': '32.5007', 'origin_longitude': '-94.74049', 'origin_country': 'America/Chicago'}",2023-08-31 09:28:15,28.4234655108055,no information,no information,12.799602293268295,32.5007,-94.74049,america/chicago
12,eliza andrews,eliza.andrews@lnhm.co.uk,846-669-6651,13,,canna striata,,2023-08-30 13:36:47,"{'origin_latitude': '49.68369', 'origin_longitude': '8.61839', 'origin_country': 'Europe/Berlin'}",2023-08-31 09:28:16,34.472964692942256,no information,no information,9.526214285494964,49.68369,8.61839,europe/berlin
